WkrNr,Wahlkreis,Insgesamt,CDU/CSU,SPD,FDP,DIE LINKE,GRÜNE
250,Schweinfurt,139859,71264,28872,5906,6940,9903
251,Würzburg,165271,74187,37225,8485,6637,19311
252,Augsburg-Stadt,132266,57699,29328,6187,7391,13940
253,Augsburg-Land,175010,93973,30126,8134,5631,12670
254,Donau-Ries,129758,72065,21616,5824,4260,7773
255,Neu-Ulm,160366,84598,29023,7485,5958,10417
256,Oberallgäu,154551,80902,24776,8749,5574,14329
257,Ostallgäu,166340,91664,24971,7677,5270,11785
258,Stuttgart I,151500,56794,31766,12548,9432,26534
259,Stuttgart II,133041,52323,30469,8920,8902,18341
260,Böblingen,184719,86453,37047,13170,8080,19091
261,Esslingen,128536,57598,28205,7859,5862,15483
262,Nürtingen,158426,72844,31499,10880,6533,18435
263,Göppingen,131103,60058,28435,7646,5569,13275
264,Waiblingen,169859,77461,34086,13327,7663,17511
265,Ludwigsburg,165829,73263,35099,11486,7748,19364
266,Neckar-Zaber,175258,79372,36849,11799,7271,18551
267,Heilbronn,171590,78544,37933,10927,8138,14662
268,Schwäbisch Hall – Hohenlohe,156233,72835,31230,10355,7535,15641
269,Backnang – Schwäbisch Gmünd,128608,62236,26198,7420,5454,11657
270,Aalen – Heidenheim,160933,79409,35861,7267,7483,13532
271,Karlsruhe-Stadt,148606,55791,33785,8978,8933,22263
272,Karlsruhe-Land,158105,73805,33416,9553,6461,15175
273,Rastatt,145957,71752,30043,8436,6055,13223
274,Heidelberg,166406,62331,38915,11626,9413,24601
275,Mannheim,135744,47598,37367,7427,10227,15047
276,Odenwald – Tauber,153246,79516,30269,7956,6379,10984
277,Rhein-Neckar,145747,63876,32456,9444,6959,13912
278,Bruchsal – Schwetzingen,143035,66656,30861,8133,6357,11696
279,Pforzheim,157396,70997,31788,11171,7248,14081
280,Calw,143270,73263,25285,9194,5948,10946
281,Freiburg,166579,59007,36791,8059,13105,33044
282,Lörrach – Müllheim,162202,70888,35328,9159,7856,20593
283,Emmendingen – Lahr,151269,69272,32131,7749,7016,18293
284,Offenburg,142822,68973,27448,8140,6762,15311
285,Rottweil – Tuttlingen,141168,72998,24757,9025,5601,10385
286,Schwarzwald-Baar,117345,57912,22414,6933,4860,10613
287,Konstanz,145816,63563,29504,10735,7295,18446
288,Waldshut,127036,62610,24130,7307,5482,13987
289,Reutlingen,148022,68394,28558,10441,7089,16195
