id,name,Stadtbezirk,Miete pro qm 2012,Miete 2012,Wohnfläche 2012,Miete pro qm 2018,Miete 2018,Wohnfläche 2018
203,Nordend-West,Nordend-West 203,"12,39",1.291,"96,96","15,31",1.314,"84,71"
211,Nordend-West,Nordend-West 211,"12,34",755,"61,27","14,48",874,"60,75"
212,Nordend-West,Nordend-West 212,"12,34",732,"59,19","16,05",932,"60,88"
213,Nordend-West,Nordend-West 213,k.A.,k.A.,k.A.,"14,09",899,"65,35"
380,Oberrad,Oberrad,"9,73",614,"64,38","12,52",817,"66,62"
,,Oberwald,"10,95",818,"73,57","14,14",1.116,"77,4"
140,Ostend,Ostend 140,"13,08",1.242,"92,69","14,51",1.124,"75,48"
251,Ostend,Ostend 251,"11,91",681,"59,39","14,99",1.364,"90,97"
252,Ostend,Ostend 252,"11,4",766,"67,16","13,34",866,"65,32"
261,Osthafen,Osthafen,"10,41",553,"54,9","15,12",1.022,"69,8"
426,Praunheim-Nord,Praunheim-Nord,k.A.,k.A.,k.A.,"11,44",656,"59,24"
424,Praunheim-Süd,Praunheim-Süd,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
470,Preungesheim,Preungesheim,"9,98",787,"78,66","12,1",909,"76,56"
,,"Rebstock, Kuhwald","10,63",788,"71,88","13,03",1.028,"78,48"
651,Riedberg,Riedberg,"11,61",1.097,"94,4","13,53",1.118,"83,86"
262,Riederwald,Riederwald,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
483,Riedwiese-Mertonviertel,Riedwiese-Mertonviertel,k.A.,k.A.,k.A.,"13,52",771,"60,4"
401,Rödelheim-Ost,Rödelheim-Ost,"9,66",558,"59,36","12,05",734,"63,42"
402,Rödelheim-West,Rödelheim-West,"9,56",592,"62,12","12,68",924,"73,83"
300,Sachsenhausen-Nord,Sachsenhausen-Nord 300,"11,66",822,"67,65","15,12",975,"64,22"
321,Sachsenhausen-Nord,Sachsenhausen-Nord 321,"12,69",952,"72,31","14,99",997,"68,52"
324,Sachsenhausen-Nord,Sachsenhausen-Nord 324,"12,59",1.000,"76,59","14,39",1.236,"83,28"
331,Sachsenhausen-Nord,Sachsenhausen-Nord 331,"10,98",616,"56,61","15,03",1.062,"71,41"
325,Sachsenhausen-Süd,Sachsenhausen-Süd 325,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
531,Schwanheim,Schwanheim,"9,59",619,"65,16","10,53",689,"65,53"
390,Seckbach,Seckbach,"9,89",791,"81,09","11,51",800,"70,26"
422,Siedlung Praunheim,Siedlung Praunheim,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
423,Siedlung Praunheim-Westhausen,Siedlung Praunheim-Westhausen,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
602,Sindlingen-Nord,Sindlingen-Nord,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
601,Sindlingen-Süd,Sindlingen-Süd,"9,54",381,"44,17","10,2",480,"49,99"
632,Sossenheim-Ost,Sossenheim-Ost,"8,42",522,"63,33","10,1",651,"65,71"
631,Sossenheim-West,Sossenheim-West,"8,35",461,"56,03","10,25",596,"59,77"
621,Unterliederbach-Mitte,Unterliederbach-Mitte,"8,6",545,"64,24","11,08",702,"64,78"
622,Unterliederbach-Ost,Unterliederbach-Ost,"8,71",429,"50,33","8,98",554,"62,72"
623,Unterliederbach-West,Unterliederbach-West,k.A.,k.A.,k.A.,k.A.,k.A.,k.A.
191,Westend-Nord,Westend-Nord 191,"13,41",1.057,"77,25","15,1",1.299,"83,28"
100,Westend-Süd,Westend-Süd 101,"13,15",1.288,"92,05","15,95",1.305,"80,41"
110,Westend-Süd,Westend-Süd 110,"13,08",939,"72,05","15,86",1.018,"64,96"
170,Westend-Süd,Westend-Süd 170,"13,39",1.002,"76,7","15,07",1.060,72
180,Westend-Süd,Westend-Süd 180,"12,93",1.225,"87,46","16,12",1.486,"89,29"
612,Zeilsheim-Nord,Zeilsheim-Nord,k.A.,k.A.,k.A.,"10,6",576,"55,08"
604,Zeilsheim-Ost,Zeilsheim-Ost,k.A.,k.A.,k.A.,"11,29",738,"65,89"
611,Zeilsheim-Süd,Zeilsheim-Süd,k.A.,k.A.,k.A.,"11,39",701,"62,68"
,,,,,,,,
192,Westend-Nord,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
328,Unterwald,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
163,Bockenheim,,,,,,,
343,Bockenheim,,,,,,,
362,Bockenheim,,,,,,,
271,Bornheim,,,,,,,
272,Bornheim,,,,,,,
281,Bornheim,,,,,,,
329,Flughafen,,,,,,,
154,Gallus,,,,,,,
162,Gallus,,,,,,,
165,Gallus,,,,,,,
541,Griesheim-Ost,,,,,,,
551,Griesheim-West,,,,,,,
591,Hšchst-Süd,,,,,,,
592,Hšchst-Süd,,,,,,,
40,Innenstadt,,,,,,,
202,Nordend-West,,,,,,,
326,Sachsenhausen-Fritz-Kissel-Siedlung,,,,,,,
322,Sachsenhausen-Nord,,,,,,,
323,Sachsenhausen-Süd,,,,,,,
,,,,,,,,
332,Sachsenhausen-Süd,,,,,,,
